person_id,avg_age,final_gender,num_samples
1,28.2,Man,181
2,29.1,Man,39
3,27.6,Man,125
4,33.1,Man,15
5,30.2,Man,124
6,27.5,Man,24
7,30.8,Man,24
8,30.9,Man,25
10,26.5,Man,35
11,28.8,Man,33
13,32.7,Man,3
14,34.0,Man,2
15,32.4,Man,15
16,28.1,Man,74
17,31.8,Man,4
18,30.9,Man,248
19,34.0,Man,4
20,31.0,Man,51
21,29.9,Man,11
22,35.2,Man,5
23,28.0,Man,37
24,27.4,Man,147
25,30.5,Man,137
26,25.2,Man,13
27,30.4,Man,98
28,29.7,Man,7
29,27.0,Man,1
30,28.5,Man,38
31,30.7,Man,28
32,26.2,Man,28
33,31.5,Man,16
34,29.6,Man,23
35,30.0,Man,7
36,31.7,Man,325
37,35.0,Woman,87
38,31.0,Man,23
39,31.4,Man,55
40,28.6,Man,54
41,29.6,Man,321
42,32.2,Man,214
43,30.1,Man,101
44,31.7,Man,91
45,30.1,Man,100
46,31.0,Man,72
47,29.9,Man,105
48,33.0,Man,73
49,27.8,Man,112
50,31.5,Man,5
51,26.8,Man,29
52,30.0,Man,1
53,28.6,Man,12
54,30.1,Man,63
55,29.4,Man,67
56,28.0,Man,1
57,27.8,Man,39
58,23.0,Man,2
59,32.9,Woman,102
60,28.8,Man,52
61,32.3,Man,19
62,28.5,Man,53
63,29.7,Man,68
64,29.5,Man,9
65,33.2,Man,137
67,27.5,Man,12
68,31.6,Man,40
69,30.1,Man,42
70,32.2,Man,52
71,26.0,Man,10
72,29.1,Man,33
73,30.6,Man,23
75,27.2,Man,4
76,28.0,Man,4
77,28.3,Man,156
78,27.5,Man,167
79,29.1,Man,141
81,32.4,Man,14
82,35.8,Man,13
83,30.7,Man,148
84,31.2,Man,48
85,28.3,Man,27
88,30.0,Man,11
90,30.4,Man,133
91,33.2,Man,55
92,33.7,Man,32
93,32.2,Man,86
94,27.0,Man,73
95,28.1,Man,16
96,30.5,Man,29
97,27.8,Man,6
98,25.0,Man,2
100,28.5,Man,2
101,28.6,Man,30
102,30.6,Man,24
103,33.0,Man,36
105,30.6,Man,33
106,27.5,Man,66
108,29.9,Man,117
109,30.0,Man,46
110,30.9,Man,28
112,27.2,Man,4
113,31.2,Man,48
115,29.3,Man,197
116,30.7,Man,49
117,29.5,Man,31
118,30.8,Man,62
119,29.1,Man,104
121,27.9,Man,155
122,30.0,Man,94
123,32.2,Man,37
124,35.1,Man,56
125,27.6,Man,20
126,38.7,Man,25
127,31.6,Woman,23
128,30.3,Man,17
129,37.0,Man,1
130,29.0,Woman,14
133,34.4,Man,16
134,27.0,Man,5
135,29.8,Man,10
