frame,n_person,n_face,n_head
1,36,6,27
2,38,3,28
3,38,2,30
4,39,2,31
5,38,3,30
6,38,3,28
7,38,3,30
8,38,3,28
9,38,5,30
10,38,6,28
11,38,4,30
12,40,6,27
13,39,4,27
14,40,3,29
15,38,4,27
16,40,4,27
17,39,5,31
18,38,5,29
19,38,4,29
20,37,4,27
21,37,3,27
22,37,4,29
23,34,3,29
24,35,3,29
25,35,4,29
26,35,4,29
27,35,5,28
28,35,0,29
29,35,4,30
30,36,2,30
31,36,3,31
32,35,2,33
33,37,4,33
34,40,8,32
35,40,4,31
36,40,5,31
37,41,3,32
38,41,3,33
39,40,1,31
40,42,1,30
41,38,4,32
42,39,4,29
43,40,5,29
44,39,4,28
45,40,3,26
46,38,3,27
47,39,5,31
48,39,6,30
49,38,5,31
50,38,7,32
51,37,4,31
52,40,4,28
53,39,3,27
54,40,4,30
55,40,5,32
56,41,3,32
57,39,3,31
58,38,4,28
59,40,5,30
60,39,4,30
61,40,5,30
62,41,5,29
63,41,3,30
64,42,1,32
65,42,3,33
66,44,4,31
67,44,4,31
68,45,5,30
69,42,6,27
70,43,4,29
71,42,5,29
72,41,6,31
73,41,5,31
74,42,4,29
75,41,4,31
76,40,4,29
77,40,3,30
78,39,5,30
79,40,1,29
80,40,2,30
81,41,2,29
82,41,4,31
83,40,2,31
84,37,5,31
85,41,4,31
86,41,5,31
87,42,4,32
88,40,5,34
89,38,6,33
90,39,6,33
91,38,6,30
92,37,4,31
93,36,4,30
94,36,5,28
95,36,7,29
96,38,6,29
97,39,5,29
98,39,4,28
99,39,5,27
100,39,5,25
101,40,5,29
102,34,4,27
103,36,7,28
104,37,7,29
105,37,5,28
106,39,2,29
107,38,4,28
108,36,4,29
109,35,4,31
110,37,5,30
111,35,5,30
112,35,4,31
113,37,5,27
114,35,6,30
115,37,6,30
116,35,4,30
117,34,4,28
118,35,2,29
119,36,2,28
120,36,2,30
121,35,3,28
122,35,2,28
123,35,4,27
124,35,3,28
125,33,4,27
126,33,3,27
127,33,3,28
128,33,2,28
129,34,3,28
130,33,2,27
131,35,3,27
132,35,4,26
133,34,6,26
134,34,5,25
135,34,3,25
136,34,4,26
137,32,4,26
138,33,5,27
139,31,3,27
140,31,5,27
141,31,6,26
142,30,5,26
143,30,5,25
144,30,5,26
145,30,4,26
146,30,5,27
147,31,7,26
148,30,5,26
149,30,6,25
150,30,7,28
151,31,7,25
152,31,7,26
153,30,7,25
154,31,7,25
155,30,7,26
156,31,6,27
157,32,6,27
158,31,8,27
159,30,7,26
160,31,6,27
161,31,7,27
162,31,4,27
163,31,5,27
164,31,6,28
165,31,6,28
166,31,7,26
167,31,5,27
168,31,6,26
169,31,2,27
170,31,2,28
171,31,4,29
172,31,5,23
173,31,5,24
174,31,5,25
175,31,4,25
176,31,5,26
177,32,7,26
178,32,4,27
179,32,3,26
180,32,3,24
181,32,3,25
182,32,5,24
183,33,8,24
184,33,9,24
185,33,8,25
186,33,6,28
187,33,5,29
188,34,4,28
189,34,5,26
190,34,3,25
191,34,3,27
192,34,2,26
193,34,4,25
194,34,4,24
195,34,4,24
196,35,5,22
197,35,4,22
198,35,3,22
199,34,4,24
200,34,4,25
201,32,5,24
202,32,4,24
203,33,4,22
204,34,5,24
205,33,3,24
206,32,3,24
207,35,6,22
208,35,5,22
209,34,3,21
210,35,4,21
211,34,4,22
212,35,6,24
213,34,4,22
214,34,4,23
215,34,3,24
216,34,2,23
217,33,3,23
218,33,3,21
219,32,3,22
220,33,3,23
221,33,3,22
222,32,3,21
223,31,6,21
224,30,4,21
225,31,2,21
226,30,3,23
227,31,3,23
228,30,3,23
229,32,3,22
230,31,4,22
231,32,3,25
232,31,3,23
233,33,3,23
234,34,3,24
235,32,4,23
236,33,3,23
237,33,1,22
238,32,4,20
239,31,2,20
240,33,2,21
241,30,3,22
242,31,3,20
243,30,4,21
244,31,3,22
245,29,3,21
246,32,3,22
247,35,3,23
248,32,3,24
249,32,4,22
250,33,2,24
251,34,2,22
252,32,4,23
253,32,6,24
254,30,5,22
255,31,4,24
256,30,4,26
257,29,2,24
258,32,2,23
259,34,2,25
260,32,2,26
261,33,2,26
262,31,4,25
263,31,2,23
264,31,3,23
265,31,4,25
266,31,3,24
267,32,4,24
268,31,3,27
269,31,3,26
270,31,3,23
271,30,3,23
272,30,3,22
273,31,3,22
274,28,2,23
275,30,2,22
276,33,3,22
277,31,4,22
278,31,3,24
279,30,2,24
280,30,3,24
281,30,3,26
282,30,1,27
283,31,2,28
284,32,1,26
285,34,3,28
286,32,2,26
287,32,4,29
288,29,2,28
289,30,4,27
290,30,3,29
291,30,1,28
292,31,1,29
293,35,0,27
294,34,0,27
295,35,1,28
296,32,1,27
297,35,1,29
298,33,0,27
299,34,0,28
300,33,1,28
301,32,0,28
302,33,0,28
303,32,1,30
304,32,1,29
305,33,1,30
306,33,0,29
307,33,1,27
308,32,2,27
309,31,2,26
310,31,2,27
311,34,2,27
312,33,3,27
313,33,3,27
314,32,3,29
315,28,3,27
316,30,4,26
317,30,4,26
318,30,4,26
319,33,4,28
320,31,3,28
321,32,2,30
322,32,3,29
323,31,4,27
324,32,3,28
325,32,2,26
326,31,4,25
327,32,3,26
328,31,4,25
329,31,4,25
330,32,3,22
331,32,4,25
332,34,2,24
333,32,3,23
334,33,2,25
335,32,3,25
